CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.09933487,-0.01034837,1.12386237,0.00000000,1.07845615,0.00000000,1.07232831,-0.00516433,1.07607094,-0.02710509,1.05909546,0.00000000,1.09210367,-0.00516433,0.94129830,-0.07619829,1.03785331,-0.01514625,0.92685283,-0.09051971
1.09507157,-0.01418630,1.12709692,0.00000000,1.07427382,-0.00387807,1.07541455,-0.00230112,1.07916795,-0.02430503,1.06214361,0.00000000,1.09524682,-0.00230112,0.93858918,-0.07885705,1.04084033,-0.01231178,0.92859352,-0.08881164
1.10081479,-0.00901610,1.12118574,-0.00524461,1.07990797,0.00000000,1.06977442,-0.00753366,1.07350813,-0.02942217,1.05657308,-0.00524461,1.08950268,-0.00753366,0.93272806,-0.08460923,1.03538153,-0.01749181,0.93253503,-0.08494400
1.10159456,-0.00831414,1.12039155,-0.00594924,1.07806311,-0.00170835,1.06946242,-0.00782312,1.07274772,-0.03010968,1.05582466,-0.00594924,1.08873093,-0.00823667,0.93206736,-0.08525765,1.03507956,-0.01777836,0.93094194,-0.08650724
1.09946636,-0.01022999,1.11934744,-0.00687562,1.07705844,-0.00263868,1.06739630,-0.00973992,1.07267468,-0.03017571,1.05484072,-0.00687562,1.08771632,-0.00916092,0.93119875,-0.08611011,1.03307987,-0.01967594,0.93007437,-0.08735854
1.12212962,0.00000000,1.14242050,0.00000000,1.09925981,0.00000000,1.08939850,0.00000000,1.09371301,-0.01115458,1.07658411,0.00000000,1.11013738,0.00000000,0.95039352,-0.06727214,1.05437470,0.00000000,0.90997271,-0.10708343
1.12084493,-0.00114487,1.14111258,-0.00114487,1.09800129,-0.00114487,1.08815128,-0.00114487,1.09246085,-0.01228668,1.07535156,-0.00114487,1.10886641,-0.00114487,0.94930544,-0.06833999,1.05316758,-0.00114487,0.90802094,-0.10899862
1.13047541,0.00000000,1.15091721,0.00000000,1.10743550,0.00000000,1.09750085,0.00000000,1.10184745,-0.00380008,1.08459116,0.00000000,1.11839397,0.00000000,0.95746203,-0.06033501,1.06221657,0.00000000,0.89931105,-0.11754525
1.14802277,0.00000000,1.16878187,0.00000000,1.12462524,0.00000000,1.11453638,0.00000000,1.11895045,0.00000000,1.10142630,0.00000000,1.13575381,0.00000000,0.97232386,-0.04574943,1.07870441,0.00000000,0.88535185,-0.13124281
1.14076376,-0.00632306,1.16139159,-0.00632306,1.11751416,-0.00632306,1.10748910,-0.00632306,1.11187526,-0.00632306,1.09446192,-0.00632306,1.12857237,-0.00632306,0.96617579,-0.05178321,1.07188370,-0.00632306,0.87886836,-0.13760477
1.13697937,-0.00961949,1.15753878,-0.00961949,1.11380691,-0.00961949,1.10381511,-0.00961949,1.10818671,-0.00961949,1.09083114,-0.00961949,1.12482843,-0.00961949,0.96297059,-0.05492884,1.06832782,-0.00961949,0.87595279,-0.14046569
1.14047369,-0.00657573,1.16109628,-0.00657573,1.11723001,-0.00657573,1.09931890,-0.01365364,1.11159254,-0.00657573,1.08638782,-0.01365364,1.12828540,-0.00657573,0.96593012,-0.05202432,1.07161114,-0.00657573,0.87864489,-0.13782406
1.13498559,-0.01135621,1.15550894,-0.01135621,1.12148903,-0.00278867,1.10460896,-0.00890722,1.10624342,-0.01135621,1.08007360,-0.01938641,1.12285595,-0.01135621,0.96961237,-0.04841052,1.06645442,-0.01135621,0.87441674,-0.14197295
1.14029206,-0.00673394,1.16091136,-0.00673394,1.11624566,-0.00745099,1.09944451,-0.01354094,1.11141551,-0.00673394,1.08512333,-0.01480169,1.12810571,-0.00673394,0.97317604,-0.04491308,1.07144048,-0.00673394,0.86945411,-0.14684257
